Station:;10488;;;;;;;;
Hauptfrucht:;Zuckerr黚e;Zwischenfrucht:;keine;;;;;;
2006;172;4;2,02;2;0;43,8;18,8;497,8;63,3
2006;173;3,3;1,68;0;0;42,2;18,6;496,1;63,3
2006;174;3,6;1,73;0;0;42;18,5;494,4;65
2006;175;4,9;2,34;0;0;39,7;18,2;492,1;65
2006;176;5,2;2,38;0;0;38,9;18,1;489,7;66,7
2006;177;5,9;2,72;0;0;37,9;17,9;487;68,3
2006;178;4,3;2,07;10,7;0;47,2;19,4;495,6;70
2006;179;2,3;1,25;0;0;47,3;19,4;494,3;71,7
2006;180;2,5;1,34;0;0;46,1;19,2;493;71,7
2006;181;1,6;0,94;6,1;0;51,7;20,1;498,1;73,3
2006;182;5,1;3,02;0,1;0;50,4;19,9;495,2;75
2006;183;6,1;3,46;0;0;48,6;19,6;491,7;76,7
2006;184;6,3;3,46;0;0;46,9;19,3;488,3;78,3
2006;185;5,9;3,19;0;0;45,5;19,1;485,1;80
2006;186;6,5;3,46;0;0;43,9;18,8;481,6;81,7
2006;187;5,5;2,86;0;0;44;18,8;478,7;85
2006;188;5,1;2,7;0;0;44,1;18,9;476;88,3
2006;189;2,3;1,31;4;0;48;19,5;478,7;91,7
2006;190;4,9;2,81;0;0;48;19,5;475,9;95
2006;191;6;3,45;0;0;47,5;19,4;472,4;98,3
2006;192;5,5;3,16;0;0;47,3;19,4;469,3;101,7
2006;193;4,7;2,69;0;0;46,5;19,2;466,6;103,3
2006;194;4,8;2,72;0,6;0;46;19,2;464,4;105
2006;195;3,4;1,94;0;0;45,7;19,1;462,5;106,7
2006;196;4,7;2,63;0;0;45;19;459,8;108,3
2006;197;5,9;3,28;0;0;43,9;18,8;456,6;110
2006;198;6;3,34;0;0;42,9;18,7;453,2;111,7
2006;199;6,3;3,45;0;0;41,8;18,5;449,8;113,3
2006;200;6,5;3,51;0;0;40,7;18,3;446,3;115
2006;201;6,4;3,4;0;0;39,7;18,2;442,9;116,7
2006;202;5,3;2,75;0;0;38,2;17,9;440,1;116,7
2006;203;6,1;3,13;0;0;37,4;17,8;437;118,3
2006;204;2,7;1,36;0,1;0;36,7;17,7;435,7;118,3
2006;205;5,6;2,79;0;0;36,2;17,6;433;120
2006;206;5,4;2,7;0;0;34,7;17,4;430,3;120
2006;207;4;1,94;0;0;34,6;17,4;428,3;121,7
2006;208;5,9;2,88;0;0;33,1;17,1;425,4;121,7
2006;209;3,1;1,5;0,1;0;33,3;17,2;424;123,3
2006;210;3;1,52;1,9;0;33,5;17,2;424,4;123,3
2006;211;5,6;2,69;0;0;32,1;17;421,7;123,3
2006;212;3,1;1,51;0,6;0;31,6;16,9;420,8;123,3
2006;213;2,8;1,32;0;0;30,9;16,8;419,4;121,7
2006;214;3,4;1,56;0,1;0;30,2;16,7;418;121,7
2006;215;3,7;1,7;0;0;29,3;16,5;416,3;121,7
2006;216;2,1;0,98;0,9;0;29,2;16,5;416,2;120
2006;217;1,7;2,05;26;0;41,9;18,5;440,1;120
2006;218;1,5;1,71;20,5;0;52,1;20,1;458,9;118,3
2006;219;1,5;1,22;2,9;0;52,9;20,3;460,5;118,3
2006;220;1,9;1,51;0;0;52,5;20,2;459;116,7
2006;221;1,8;1,39;0;0;51,7;20,1;457,6;116,7
2006;222;1,7;1,37;2,5;0;52,6;20,2;458,7;115
2006;223;2,2;1,74;2,5;0;53,1;20,3;459,5;115
2006;224;2,6;2,01;0;0;52,3;20,2;457,5;113,3
2006;225;2,1;1,63;2,1;0;52,5;20,2;458;113,3
2006;226;2,5;1,89;1,1;0;52,4;20,2;457,2;111,7
2006;227;2,1;1,85;9,6;0;56,8;20,9;464,9;111,7
2006;228;3;2,44;0;0;55,7;20,7;462,5;110
2006;229;4,2;3,38;0,2;0;53,9;20,4;459,3;110
2006;230;2,7;2,25;5,8;0;56,3;20,8;462,9;108,3
2006;231;4,6;3,71;0,1;0;54,5;20,5;459,3;106,7
2006;232;3,3;2,57;1,1;0;53,9;20,4;457,8;105
2006;233;1,6;1,21;0,2;0;53,6;20,4;456,8;103,3
2006;234;1,8;1,41;1,9;0;54,2;20,5;457,3;101,7
2006;235;1,5;1,15;0,8;0;53,9;20,4;456,9;101,7
2006;236;3,8;2,8;0,7;0;52,9;20,3;454,8;100
2006;237;2,1;1,71;6,2;0;56;20,7;459,2;98,3
2006;238;2,1;1,98;14,2;0;64,3;22,1;471,4;96,7
2006;239;2;1,88;2;0;64,8;22,1;471,5;95
2006;240;1,7;1,54;2;0;65,5;22,2;472;93,3
2006;241;1,3;1,32;6,8;0;69,7;22,9;477,5;91,7
2006;242;1,3;1,41;7,2;0;73,7;23,5;483,2;91,7
2006;243;1,9;2,02;1;0;73,5;23,5;482,2;90
2006;244;1,7;1,76;0;0;72,8;23,4;480,4;88,3
2006;245;2,6;2,63;0;0;71,4;23,2;477,8;86,7
2006;246;1,3;1,35;2,2;0;72,5;23,4;478,7;85
2006;247;3;3;0;0;70,3;23;475,7;85
2006;248;2,8;2,63;0;0;68,8;22,8;473;83,3
2006;249;2;1,84;0;0;67,7;22,6;471,2;81,7
2006;250;3,9;3,44;1,9;0;66,5;22,4;469,6;81,7
2006;251;1,9;1,6;0;0;65,6;22,3;468;80
2006;252;1,9;1,53;0;0;64,7;22,1;466,5;78,3
2006;253;3,7;2,94;0;0;62,5;21,8;463,6;76,7
2006;254;4;2,96;0;0;60,1;21,4;460,6;76,7
2006;255;4;2,77;0;0;57,9;21;457,8;75
2006;256;3,9;2,55;0;0;55,7;20,7;455,3;75
2006;257;3,8;2,34;0;0;53,8;20,4;452,9;73,3
2006;258;3,7;2,19;0;0;51,9;20,1;450,8;73,3
2006;259;1,7;0,98;0;0;51;20;449,8;71,7
2006;260;3,4;1,91;0;0;49,3;19,7;447,9;70
2006;261;3,4;1,86;0;0;47,6;19,4;446;70
2006;262;1;0,55;0;0;47,1;19,3;445,5;68,3
2006;263;2,1;1,07;0;0;46,1;19,2;444,4;68,3
2006;264;3,3;1,69;0;0;44,5;18,9;442,7;66,7
2006;265;3,5;1,74;0;0;42,9;18,7;441;66,7
2006;266;3,4;1,62;0;0;41,3;18,4;439,3;65
2006;267;3,5;1,63;0;0;39,7;18,2;437,7;65
2006;268;3,2;1,47;0;0;38,2;17,9;436,2;63,3
2006;269;2,9;1,27;0;0;37;17,7;435;63,3
2006;270;0,9;0,56;3,2;0;39,6;18,2;437,6;63,3
2006;271;2,2;1,01;0;0;38,6;18;436,6;61,7
2006;272;2,9;1,3;0;0;37,3;17,8;435,3;61,7
2006;273;2,4;1,04;0;0;36,2;17,6;434,2;61,7
2006;274;1,4;1,02;8,8;0;44,4;18,9;442;60
2006;275;0,9;0,68;5;0;48,9;19,6;446,3;60
2006;276;0,8;0,97;12,8;0;61,4;21,6;458,1;60
2006;277;1;1,14;13,2;0;75,2;23,8;470,2;58,3
2006;278;1;1,24;5;0;79,2;24,4;473,9;58,3
2006;279;1;1,21;0,6;0;78,5;24,3;473,2;58,3
2006;280;0,9;1,1;6,5;0;84,3;25,2;478,6;58,3
2006;281;2,4;2,76;0;0;82;24,8;475,8;56,7
2006;282;2,3;2,45;0;0;79,2;24,4;473,4;56,7
2006;283;2,2;2,22;0;0;76,7;24;471,2;56,7
2006;284;2,3;2,17;0;0;74,3;23,6;469;56,7
2006;285;2,2;1,97;0;0;72,4;23,3;467;55
2006;286;0,7;0,58;0,1;0;71,9;23,3;466,5;55
2006;287;0,8;0,64;0;0;71,1;23,1;465,9;55
2006;288;1;0,83;0;0;70,2;23;465,1;55
2006;289;1,4;1,06;0;0;68,9;22,8;464;55
2006;290;2;1,47;0;0;67,4;22,5;462,5;53,3
2006;291;1,7;1,19;0;0;65,9;22,3;461,4;53,3
2006;292;1,5;1,04;0;0;64,7;22,1;460,3;53,3
2006;293;0,9;0,59;0;0;64;22;459,7;53,3
2006;294;0,7;0,44;0,4;0;64;22;459,7;53,3
2006;295;1,6;1,06;0;0;62,7;21,8;458,7;51,7
2006;296;0,7;0,43;0;0;62,2;21,7;458,2;51,7
2006;297;1;0,63;1,4;0;63,2;21,9;459;51,7
2006;298;1,6;1,06;0,8;0;62,8;21,8;458,7;51,7
2006;299;1,6;1,04;0;0;61,6;21,6;457,7;51,7
2006;300;1,5;0,94;0;0;60,4;21,4;456,8;50
2006;301;1,1;0,77;8;0;69,6;22,9;464;50
2006;302;0,6;0,64;30,4;0;100;27,7;493,8;50
2006;303;0,9;0,99;0;0;98,8;27,5;492,8;50
2006;304;0,8;0,89;0,4;0;98,2;27,4;492,3;50
2006;305;0,7;0,74;0,6;0;97,9;27,4;492,1;50
2006;306;0,8;0,89;0,6;0;97,5;27,3;491,8;50
2006;307;0,8;0,84;0;0;96,4;27,1;490,9;50
2006;308;0,4;0,49;6,2;0;100;27,7;496,6;50
2006;309;0,5;0,57;15,7;0;100;27,7;511,8;50
2006;310;0,5;0,58;0,3;0;99,7;27,6;511,5;50
2006;311;0,8;0,86;0;0;98,6;27,5;510,7;50
2006;312;0,9;1,04;0;0;97,3;27,3;509,6;50
2006;313;0,7;0,72;9,7;0;100;27,7;518,6;50
2006;314;0,5;0,58;0,3;0;99,7;27,6;518,3;50
2006;315;0,4;0,49;0,7;0;99,9;27,7;518,5;50
2006;316;0,5;0,52;12,4;0;100;27,7;530,4;50
2006;317;0,4;0,49;3,7;0;100;27,7;533,7;50
2006;318;0,5;0,6;0;0;99,2;27,6;533,1;50
2006;319;1,2;1,36;0;0;97,5;27,3;531,7;50
2006;320;1,3;1,39;0;0;95,8;27;530,3;50
2006;321;0,5;0,52;0,1;0;95,2;26,9;529,9;50
2006;322;0,6;0,62;0;0;94,5;26,8;529,3;50
2006;323;0,7;0,77;0,8;0;94,5;26,8;529,3;50
2006;324;0,4;0,41;0,3;0;94,4;26,8;529,2;50
2006;325;0,4;0,41;5,7;0;100;27,7;534,5;50
2006;326;0,4;0,43;0;0;99,4;27,6;534,1;50
2006;327;0,6;0,68;0,8;0;99,6;27,6;534,2;50
2006;328;0,8;0,96;0,6;0;99;27,5;533,7;50
2006;329;0,4;0,49;0;0;98,4;27,5;533,3;50
2006;330;0,8;0,9;0;0;97,3;27,3;532,4;50
2006;331;0,9;1,01;0;0;96;27,1;531,4;50
2006;332;0,7;0,73;0;0;95,1;26,9;530,6;50
2006;333;0,4;0,39;0,1;0;94,7;26,9;530,4;50
2006;334;0,5;0,53;0;0;94,1;26,8;529,8;50
2006;335;0,8;0,89;0;0;92,9;26,6;528,9;50
2006;336;0,8;0,82;0;0;91,9;26,4;528,1;50
2006;337;0,5;0,49;0;0;91,3;26,3;527,6;50
2006;338;0,4;0,43;1,1;0;92,1;26,5;528,3;50
2006;339;0,5;0,53;2,1;0;94,1;26,8;529,9;50
2006;340;0,4;0,41;0,4;0;94,1;26,8;529,9;50
2006;341;0,8;0,83;0;0;93,1;26,6;529,1;50
2006;342;0,7;0,76;0;0;92,1;26,5;528,3;50
2006;343;0,3;0,35;11,2;0;100;27,7;539,2;50
2006;344;0,3;0,37;0,3;0;99,9;27,7;539,1;50
2006;345;0,6;0,74;2;0;100;27,7;540,4;50
2006;346;0,3;0,39;5,1;0;100;27,7;545;50
2006;347;0,4;0,44;1,1;0;100;27,7;545,7;50
2006;348;0,7;0,79;0;0;99;27,5;544,9;50
2006;349;0,8;0,85;0;0;97,9;27,4;544;50
2006;350;0,6;0,69;3,2;0;100;27,7;546,5;50
2006;351;0,4;0,45;2;0;100;27,7;548,1;50
2006;352;0,3;0,35;0,1;0;99,7;27,7;547,8;50
2006;353;0,3;0,32;0;0;99,3;27,6;547,5;50
2006;354;0,3;0,33;2,4;0;100;27,7;549,6;50
2006;355;0,3;0,36;0,1;0;99,7;27,6;549,3;50
2006;356;0,3;0,35;0;0;99,2;27,6;549;50
2006;357;0,3;0,33;0;0;98,8;27,5;548,7;50
2006;358;0,3;0,3;0;0;98,4;27,5;548,4;50
2006;359;0,3;0,32;0,7;0;98,9;27,5;548,7;50
2006;360;0,5;0,62;0;0;98,1;27,4;548,1;50
2006;361;0,6;0,64;0;0;97,3;27,3;547,4;50
2006;362;0,3;0,28;4,4;0;100;27,7;551,6;50
2006;363;0,3;0,33;0;0;99,6;27,6;551,3;50
2006;364;0,5;0,58;0,6;0;99,5;27,6;551,2;50
2006;365;0,5;0,57;0,3;0;99,2;27,6;551;50
;;;;;;;;;
Station:;10488;;;;;;;;
Hauptfrucht:;Zuckerr黚e;Zwischenfrucht:;keine;;;;;;
Flexibilisierung:;keine;;;;;;;;
Jahr;Tag;PET;AET;SNKk;PERC;BOF;BOF;SWI;ZG
;mm;mm;mm;mm;%nFK;Vol%;mm;cm;
2007;1;0,5;0,61;3,5;0;100;27,7;553,9;50
2007;2;0,3;0,36;1;0,5;100;27,7;554;50
2007;3;0,3;0,36;1,3;1;100;27,7;554;50
2007;4;0,3;0,37;2,6;2,3;100;27,7;554;50
2007;5;0,3;0,38;1,5;1,2;100;27,7;554;50
2007;6;0,5;0,56;2;1,4;100;27,7;554;50
2007;7;0,3;0,39;1,3;0,9;100;27,7;554;50
2007;8;0,3;0,39;0,1;0;99,6;27,6;553,7;50
2007;9;0,4;0,45;2,3;1,6;100;27,7;554;50
2007;10;0,7;0,86;1,5;0,7;100;27,7;554;50
2007;11;0,3;0,39;0,8;0,4;100;27,7;554;50
2007;12;0,5;0,53;0,6;0;100;27,7;554;50
2007;13;0,4;0,44;0;0;99,4;27,6;553,6;50
2007;14;0,7;0,81;1,4;0,2;100;27,7;554;50
2007;15;0,9;0,99;0;0;98,7;27,5;553;50
2007;16;0,7;0,74;0;0;97,8;27,4;552,3;50
2007;17;0,4;0,48;0;0;97,2;27,3;551,8;50
2007;18;0,4;0,45;15,3;12,6;100;27,7;554;50
2007;19;0,4;0,52;1,5;1;100;27,7;554;50
2007;20;0,5;0,54;5,4;4,9;100;27,7;554;50
2007;21;0,9;0,99;0;0;98,7;27,5;553;50
2007;22;0,5;0,58;0,6;0;98,7;27,5;553;50
2007;23;0,3;0,28;0;0;98,4;27,4;552,7;50
2007;24;0,3;0,29;5,9;4,3;100;27,7;554;50
2007;25;0,4;0,42;0,7;0,2;100;27,7;554;50
2007;26;0,5;0,58;0;0;99,3;27,6;553,4;50
2007;27;0,6;0,65;1,3;0,1;100;27,7;554;50
2007;28;0,4;0,4;3,4;3;100;27,7;554;50
2007;29;0,5;0,52;7;6,5;100;27,7;554;50
2007;30;0,4;0,45;1,1;0,7;100;27,7;554;50
2007;31;0,6;0,69;2;1,3;100;27,7;554;50
2007;32;0,5;0,58;0;0;99,3;27,6;553,4;50
2007;33;0,4;0,47;2,6;1,6;100;27,7;554;50
2007;34;0,6;0,71;2,4;1,7;100;27,7;554;50
2007;35;0,4;0,47;0;0;99,4;27,6;553,5;50
2007;36;0,6;0,73;0,6;0;99,2;27,6;553,4;50
2007;37;0,6;0,63;0;0;98,4;27,4;552,7;50
2007;38;0,7;0,79;2,9;0,8;100;27,7;554;50
2007;39;0,4;0,47;3,3;2,8;100;27,7;554;50
2007;40;0,5;0,61;0,9;0,3;100;27,7;554;50
2007;41;0,4;0,43;1,3;0,9;100;27,7;554;50
2007;42;0,6;0,71;0,9;0,2;100;27,7;554;50
2007;43;0,6;0,71;2,3;1,6;100;27,7;554;50
2007;44;0,5;0,59;5,6;5;100;27,7;554;50
2007;45;0,8;0,93;3,1;2,1;100;27,7;554;50
2007;46;0,5;0,53;9,1;8,6;100;27,7;554;50
2007;47;0,5;0,53;0;0;99,3;27,6;553,5;50
2007;48;1,4;1,59;0;0;97,3;27,3;551,9;50
2007;49;1,5;1,68;0;0;95,2;26,9;550,2;50
2007;50;0,5;0,51;0,2;0;94,8;26,9;549,9;50
2007;51;0,5;0,52;0;0;94,2;26,8;549,4;50
2007;52;1,5;1,54;0;0;92,2;26,5;547,9;50
2007;53;1;0,98;2,3;0;93,9;26,7;549,2;50
2007;54;0,8;0,81;0;0;92,9;26,6;548,4;50
2007;55;1,4;1,5;0;0;91;26,3;546,9;50
2007;56;0,8;0,81;0,7;0;90,8;26,2;546,7;50
2007;57;0,7;0,69;4,3;0;95,4;27;550,3;50
2007;58;0,6;0,71;2,4;0;97,5;27,3;552;50
2007;59;0,8;0,86;10;7,2;100;27,7;554;50
2007;60;0,6;0,73;2,1;1,4;100;27,7;554;50
2007;61;0,6;0,73;1,1;0,4;100;27,7;554;50
2007;62;0,6;0,7;13,1;12,4;100;27,7;554;50
2007;63;1,2;1,33;1,3;0;100;27,7;554;50
2007;64;0,8;0,95;0;0;98,8;27,5;553;50
2007;65;0,9;1,01;0;0;97,5;27,3;552;50
2007;66;1,5;1,68;0,1;0;95,5;27;550,4;50
2007;67;0,7;0,76;0;0;94,5;26,8;549,7;50
2007;68;1,8;1,86;0;0;92,2;26,5;547,8;50
2007;69;1;1,04;2,3;0;93,8;26,7;549,1;50
