Station:;OO536;;;;;;;;
Hauptfrucht:;Wintergerste;Zwischenfrucht:;keine;;;;;;
2006;169;5,3;4,14;0;0;60,8;21,5;478,6;121,7
2006;170;4;4,5;6,8;0;62;21,7;480,9;121,7
2006;171;5,1;3,85;0;0;60,5;21,5;477;123,3
2006;172;3,9;5;9,2;0;62,7;21,8;481,3;123,3
2006;173;3,2;2,42;0;0;61,4;21,6;478,9;123,3
2006;174;3,3;2,45;0;0;60,2;21,4;476,4;123,3
2006;175;5,1;3,66;0;0;58,3;21,1;472,8;123,3
2006;176;4,4;3,06;0;0;56,7;20,9;469,7;121,7
2006;177;5,8;3,87;0;0;54,7;20,5;465,8;121,7
2006;178;4,2;4,59;6,9;0;55,9;20,7;468,2;121,7
2006;179;1,8;1,19;0;0;55,3;20,6;467;121,7
2006;180;2,4;1,57;0;0;54,5;20,5;465,4;120
2006;181;2,1;2,77;9,9;0;58,3;21,1;472,5;120
2006;182;5,2;3,7;0;0;56,3;20,8;468,8;118,3
2006;183;5,8;3,88;0;0;54,3;20,5;465;118,3
2006;184;5,9;3,78;0;0;52,2;20,1;461,2;116,7
2006;185;5,8;3,63;0;0;50,2;19,8;457,5;115
2006;186;6,1;3,69;0;0;48,1;19,5;453,9;113,3
2006;187;4,2;5,45;26,5;0;60,1;21,4;474,9;111,7
2006;188;3,7;3,76;4,2;0;60,5;21,5;475,3;110
2006;189;2,3;2,31;2,5;0;61,2;21,6;475,5;105
2006;190;4,9;3,81;0;0;59,3;21,3;471,7;100
2006;191;5,7;4,14;0;0;57;20,9;467,6;95
2006;192;5,5;3,69;0;0;54,7;20,5;463,9;88,3
2006;193;4,4;2,75;0;0;52,7;20,2;461,2;83,3
2006;194;5,3;3,18;0,2;0;50,4;19,9;458,2;80
2006;195;3,4;1,88;0;0;48,8;19,6;456,3;75
2006;196;4,9;2,63;0;0;46,4;19,2;453,7;70
2006;197;5,4;2,77;0;0;43,6;18,8;450,9;63,3
2006;198;5,7;2,71;0;0;40,8;18,3;448,2;60
2006;199;6;2,7;0;0;37,8;17,9;445,5;58,3
2006;200;6,1;2,63;0;0;34,9;17,4;442,9;56,7
2006;201;6,1;2,48;0;0;32;17;440,4;55
2006;202;5,4;2,13;1,2;0;31;16,8;439,5;55
2006;203;5,7;2,18;0;0;28,4;16,4;437,3;53,3
2006;204;2,3;0,87;1,2;0;28,8;16,5;437,6;53,3
2006;205;5,4;1,99;0;0;26,5;16,1;435,7;53,3
2006;206;4,9;1,74;0,1;0;24,5;15,8;434;51,7
2006;207;2,8;0,95;0,1;0;23,4;15,6;433,2;51,7
2006;208;5,8;1,93;0;0;21;15,2;431,3;50
2006;209;2,8;0,93;2,5;0;23;15,5;432,9;50
2006;210;3,2;1,09;2;0;24,1;15,7;433,8;50
2006;211;5,4;1,89;0;0;21,7;15,3;431,9;50
2006;212;3,3;1,11;0;0;20,3;15,1;430,8;50
2006;213;2,6;0,83;1,4;0;21,1;15,2;431,4;50
2006;214;3,2;1,06;0,1;0;19,9;15;430,4;50
2006;215;3,4;1,08;0;0;18,5;14,8;429,3;50
2006;216;2,2;0,71;7,5;0;27,1;16,2;436,1;50
2006;217;1,8;0,67;17,5;0;48,4;19,5;452,9;50
2006;218;1,5;1;15,6;0;66,9;22,5;467,5;50
2006;219;1,6;1,78;0;0;64,6;22,1;465,8;50
2006;220;1,6;1,69;0;0;62,5;21,8;464,1;50
2006;221;1,5;1,5;0;0;60,6;21,5;462,6;50
2006;222;1,7;1,67;14;0;76,2;23,9;474,9;50
2006;223;2,2;2,49;0;0;73;23,4;472,4;50
2006;224;2,4;2,56;0;0;69,8;22,9;469,8;50
2006;225;2,5;2,45;10,5;0;79,9;24,5;477,8;50
2006;226;2,9;3,32;1,3;0;76,4;24;475,8;51,7
2006;227;2,1;2,26;6,5;0;81,6;24,8;480;51,7
2006;228;3;3,43;0,1;0;77,5;24,2;476,7;51,7
2006;229;4,5;4,69;0;0;71,8;23,2;472;51,7
2006;230;2,4;2,14;0,8;0;70,1;23;470,7;51,7
2006;231;4,5;3,87;1,4;0;66,5;22,4;468,2;53,3
2006;232;3;2,33;4,1;0;68,6;22,7;470;53,3
2006;233;1,7;1,44;1,3;0;68,4;22,7;469,8;53,3
2006;234;1,8;1,47;12,8;0;80,8;24,7;481,1;55
2006;235;1,7;1,91;0,9;0;79,6;24,5;480,1;55
2006;236;3,6;3,98;0;0;74,3;23,6;476,1;56,7
2006;237;2,4;2,37;0,7;0;72,4;23,3;474,4;56,7
2006;238;2,4;2,26;3;0;72,4;23,3;475,1;58,3
2006;239;2,2;2,01;1,4;0;71,8;23,2;474,5;58,3
2006;240;1,7;1,54;2,3;0;71,9;23,3;475,3;60
2006;241;1,3;1,27;14,5;0;85,9;25,5;488,6;60
2006;242;1,4;1,56;0,8;0;84,1;25,2;487,8;61,7
2006;243;1,9;2,11;1,5;0;83,5;25,1;487,2;61,7
2006;244;1,9;2,05;0;0;81,4;24,8;485,1;61,7
2006;245;2,5;2,6;0;0;77,9;24,2;482,5;63,3
2006;246;1,3;1,29;6,1;0;82,7;25;487,3;63,3
2006;247;2,8;3,09;3,4;0;83;25;487,6;63,3
2006;248;2,4;2,6;0;0;79,6;24,5;485;65
2006;249;2,2;2,28;0;0;77,3;24,1;482,7;65
2006;250;3,8;3,74;1,7;0;74,6;23,7;480,7;66,7
2006;251;2,3;2,07;0,1;0;72,8;23,4;478,7;66,7
2006;252;1,7;1,47;0;0;71,4;23,2;477,2;66,7
2006;253;3,5;3,01;0;0;68;22,6;474,2;68,3
2006;254;3,9;3,05;0;0;65,2;22,2;471,2;68,3
2006;255;3,9;2,84;0;0;62,2;21,7;468,3;70
2006;256;3,8;2,63;0;0;59,8;21,4;465,7;70
2006;257;3,7;2,39;0;0;57,4;21;463,3;71,7
2006;258;3,6;2,24;0;0;55,5;20,7;461,1;71,7
2006;259;1,7;1,03;0;0;54,6;20,5;460;71,7
2006;260;3,3;1,98;0;0;52,7;20,2;458,1;73,3
2006;261;2,4;1,43;0;0;51,5;20;456,6;73,3
2006;262;1,1;0,63;0,2;0;51;20;456,2;75
2006;263;2,4;1,37;0,1;0;50;19,8;455;75
2006;264;3,3;1,85;0;0;48,4;19,5;453,1;75
2006;265;3,4;1,89;0;0;46,8;19,3;451,2;76,7
2006;266;3,3;1,78;0;0;45,4;19,1;449,4;76,7
2006;267;3,4;1,79;0;0;43,9;18,8;447,7;76,7
2006;268;3;1,53;0;0;42,7;18,7;446,1;78,3
2006;269;2,5;1,26;0;0;41,7;18,5;444,9;78,3
2006;270;0,9;0,52;5,2;0;45,5;19,1;449,5;80
2006;271;2,5;1,37;0;0;44,4;18,9;448,1;80
2006;272;2,8;1,53;0;0;43,2;18,7;446,6;80
2006;273;2,4;1,25;0;0;42,4;18,6;445,4;81,7
2006;274;1,5;0,83;6,1;0;46,4;19,2;450,6;81,7
2006;275;0,9;0,56;4,7;0;49,6;19,7;454,8;83,3
2006;276;0,8;0,62;10,8;0;57,3;21;464,9;83,3
2006;277;1,1;0,87;10,3;0;65;22,2;474,4;81,7
2006;278;1,1;1,01;3,5;0;66,9;22,5;476,9;81,7
2006;279;1,2;1,08;0,3;0;66,8;22,5;476,1;80
2006;280;1;0,95;5,2;0;70,7;23,1;480,4;78,3
2006;281;2,3;2,28;0;0;69,4;22,9;478,1;76,7
2006;282;2,2;2,09;0;0;67,6;22,6;476;76,7
2006;283;2,2;2;0;0;66,4;22,4;474;75
2006;284;2,2;1,89;0;0;64,8;22,1;472,1;75
2006;285;2;1,68;0;0;63,7;22;470,4;73,3
2006;286;0,7;0,57;0,6;0;63,7;22;470,4;73,3
2006;287;0,8;0,62;0,1;0;63,6;21,9;469,9;71,7
2006;288;0,8;0,66;0;0;63;21,9;469,2;71,7
2006;289;1,4;1,07;0;0;62,4;21,8;468,2;70
2006;290;2;1,48;0;0;61,3;21,6;466,7;68,3
2006;291;1,7;1,19;0;0;60,2;21,4;465,5;68,3
2006;292;1,6;1,09;0;0;59,3;21,3;464,4;66,7
2006;293;0,9;0,6;0,1;0;59;21,2;463,9;65
2006;294;0,9;0,62;0;0;58,4;21,1;463,3;65
2006;295;1,6;1,08;0;0;57,5;21;462,2;63,3
2006;296;0,7;0,45;0,2;0;57,4;21;462;61,7
2006;297;1;0,64;1;0;57,9;21;462,3;60
2006;298;1,7;1,08;0;0;56,8;20,9;461,3;58,3
2006;299;1,7;1,05;0;0;55,7;20,7;460,2;58,3
2006;300;1,1;0,63;0;0;55,1;20,6;459,6;56,7
2006;301;1,1;0,7;6,8;0;61,9;21,7;465,7;56,7
2006;302;0,7;0,65;32,6;0;98,8;27,5;497,6;55
2006;303;0,6;0,65;0;0;98,1;27,4;497;55
2006;304;0,8;0,87;0,1;0;97,2;27,3;496,2;55
2006;305;0,7;0,76;0,2;0;96,6;27,2;495,7;53,3
2006;306;0,8;0,83;0;0;95,6;27;494,8;53,3
2006;307;0,6;0,64;0;0;94,8;26,9;494,2;53,3
2006;308;0,4;0,48;2,8;0;97,5;27,3;496,4;53,3
2006;309;0,5;0,56;5,4;0;100;27,7;501,3;51,7
2006;310;0,5;0,58;0;0;99,3;27,6;500,7;51,7
2006;311;0,9;1;0;0;98,1;27,4;499,7;51,7
2006;312;0,9;1,02;0;0;96,8;27,2;498,7;51,7
2006;313;0,6;0,73;11;0;100;27,7;509;51,7
2006;314;0,5;0,6;0,2;0;99,5;27,6;508,6;51,7
2006;315;0,4;0,49;1,2;0;100;27,7;509,3;50
2006;316;0,4;0,51;6,6;0;100;27,7;515,4;50
2006;317;0,4;0,49;2,3;0;100;27,7;517,2;50
2006;318;0,6;0,65;0;0;99,2;27,6;516,6;50
2006;319;1,1;1,27;0;0;97,6;27,3;515,3;50
2006;320;1,3;1,41;0;0;95,8;27;513,9;50
2006;321;0,5;0,51;0;0;95,1;26,9;513,4;50
2006;322;0,5;0,53;0;0;94,5;26,8;512,8;50
2006;323;0,9;0,93;0,4;0;93,9;26,7;512,3;50
2006;324;0,5;0,52;0,1;0;93,3;26,6;511,9;50
2006;325;0,4;0,41;3,1;0;96,7;27,2;514,6;50
2006;326;0,4;0,45;0,1;0;96,3;27,1;514,3;50
2006;327;0,5;0,61;0,8;0;96,5;27,1;514,4;50
2006;328;0,8;0,89;0,4;0;95,9;27,1;514;50
2006;329;0,4;0,46;0;0;95,3;27;513,5;50
2006;330;0,8;0,84;0;0;94,3;26,8;512,7;50
2006;331;0,9;0,99;0;0;93;26,6;511,7;50
2006;332;0,6;0,64;0;0;92,2;26,5;511;50
2006;333;0,4;0,37;0,2;0;92;26,4;510,9;50
2006;334;0,7;0,75;0;0;91,1;26,3;510,1;50
2006;335;0,8;0,8;0;0;90;26,1;509,3;50
2006;336;0,8;0,77;0;0;89,1;26;508,6;50
2006;337;0,5;0,47;0;0;88,5;25,9;508,1;50
2006;338;0,4;0,36;0,8;0;89;26;508,5;50
2006;339;0,4;0,39;1,2;0;90;26,1;509,3;50
2006;340;0,4;0,38;0,4;0;90,1;26,1;509,4;50
2006;341;0,7;0,68;0;0;89,2;26;508,7;50
2006;342;0,6;0,63;0;0;88,4;25,9;508,1;50
2006;343;0,3;0,34;3,6;0;92,6;26,5;511,4;50
2006;344;0,3;0,34;0,2;0;92,5;26,5;511,2;50
2006;345;0,5;0,58;0,9;0;92,8;26,6;511,5;50
2006;346;0,3;0,34;4;0;97,4;27,3;515,2;50
2006;347;0,3;0,37;0,4;0;97,5;27,3;515,2;50
2006;348;0,5;0,56;0;0;96,8;27,2;514,7;50
2006;349;0,8;0,87;0;0;95,7;27;513,8;50
2006;350;0,5;0,59;2,1;0;97,6;27,3;515,3;50
2006;351;0,4;0,45;2,1;0;99,7;27,6;516,9;50
2006;352;0,3;0,33;0,2;0;99,5;27,6;516,8;50
2006;353;0,3;0,32;0,3;0;99,5;27,6;516,8;50
2006;354;0,3;0,33;1,3;0;100;27,7;517,8;50
2006;355;0,3;0,35;0,1;0;99,7;27,7;517,6;50
2006;356;0,3;0,34;0;0;99,3;27,6;517,2;50
2006;357;0,3;0,33;0;0;98,8;27,5;516,9;50
2006;358;0,3;0,29;0;0;98,5;27,5;516,6;50
2006;359;0,3;0,31;0;0;98,1;27,4;516,3;50
2006;360;0,5;0,54;0;0;97,4;27,3;515,8;50
2006;361;0,6;0,67;0;0;96,6;27,2;515,1;50
2006;362;0,3;0,29;2,9;0;99,8;27,7;517,7;50
2006;363;0,3;0,33;0,4;0;100;27,7;517,8;50
2006;364;0,4;0,42;0,7;0;100;27,7;518;50
2006;365;0,4;0,42;0,6;0;100;27,7;518,1;50
;;;;;;;;;
Station:;OO536;;;;;;;;
Hauptfrucht:;Wintergerste;Zwischenfrucht:;keine;;;;;;
Flexibilisierung:;keine;;;;;;;;
Jahr;Tag;PET;AET;SNKk;PERC;BOF;BOF;SWI;ZG
;mm;mm;mm;mm;%nFK;Vol%;mm;cm;
2007;1;0,4;0,42;5,4;0;100;27,7;523,1;50
2007;2;0,3;0,34;0,6;0;100;27,7;523,3;50
2007;3;0,3;0,36;1,1;0;100;27,7;524,1;50
2007;4;0,3;0,38;0,4;0;100;27,7;524,1;50
2007;5;0,3;0,38;1,2;0;100;27,7;525;50
2007;6;0,4;0,44;1,7;0;100;27,7;526,2;50
2007;7;0,3;0,39;1,2;0;100;27,7;527;50
2007;8;0,4;0,41;0,4;0;100;27,7;527;50
2007;9;0,4;0,48;0,1;0;99,5;27,6;526,6;50
2007;10;0,7;0,78;1,3;0;100;27,7;527,2;50
2007;11;0,3;0,39;0,2;0;99,8;27,7;527;50
2007;12;0,3;0,4;0;0;99,3;27,6;526,6;50
2007;13;0,4;0,43;0;0;98,7;27,5;526,2;50
2007;14;0,7;0,8;0,3;0;98,1;27,4;525,7;50
2007;15;0,6;0,7;0;0;97,3;27,3;525;50
2007;16;0,4;0,42;0;0;96,7;27,2;524,6;50
2007;17;0,5;0,54;0;0;96,1;27,1;524,1;50
2007;18;0,4;0,45;9,4;0;100;27,7;533;50
2007;19;0,4;0,43;0,3;0;99,9;27,7;532,9;50
2007;20;0,4;0,46;3,4;0;100;27,7;535,8;50
2007;21;0,4;0,41;0;0;99,5;27,6;535,4;50
2007;22;0,5;0,52;1,1;0;100;27,7;536;50
2007;23;0,2;0,28;0;0;99,6;27,6;535,7;50
2007;24;0,2;0,31;19,4;0,8;100;27,7;554;50
2007;25;0,3;0,32;8,1;7,7;100;27,7;554;50
2007;26;0,5;0,56;0;0;99,3;27,6;553,4;50
2007;27;0,5;0,6;0,8;0;99,5;27,6;553,6;50
2007;28;0,3;0,4;1,9;1,1;100;27,7;554;50
2007;29;0,4;0,46;5,2;4,7;100;27,7;554;50
2007;30;0,4;0,43;1,5;1,1;100;27,7;554;50
2007;31;0,5;0,61;0,4;0;99,8;27,7;553,8;50
2007;32;0,7;0,76;0;0;98,8;27,5;553,1;50
2007;33;0,4;0,47;2;0,6;100;27,7;554;50
2007;34;0,7;0,82;0;0;99;27,5;553,2;50
2007;35;0,4;0,46;0;0;98,4;27,4;552,7;50
2007;36;0,6;0,73;0,2;0;97,7;27,3;552,2;50
2007;37;0,7;0,78;0;0;96,8;27,2;551,4;50
2007;38;0,6;0,71;5,1;1,8;100;27,7;554;50
2007;39;0,4;0,49;4,2;3,7;100;27,7;554;50
2007;40;0,7;0,78;0,8;0;100;27,7;554;50
2007;41;0,4;0,44;2,5;2;100;27,7;554;50
2007;42;0,7;0,85;1,2;0,4;100;27,7;554;50
2007;43;0,5;0,63;1,1;0,5;100;27,7;554;50
2007;44;0,6;0,71;3,7;3;100;27,7;554;50
2007;45;0,8;0,9;2,6;1,7;100;27,7;554;50
2007;46;0,5;0,53;4,8;4,3;100;27,7;554;50
2007;47;0,4;0,51;0;0;99,4;27,6;553,5;50
2007;48;1,4;1,6;0;0;97,3;27,3;551,9;50
2007;49;1,5;1,68;0;0;95,2;26,9;550,2;50
2007;50;0,5;0,5;0;0;94,6;26,8;549,7;50
2007;51;0,5;0,54;0;0;93,9;26,7;549,2;50
2007;52;1,6;1,69;0;0;91,8;26,4;547,5;50
2007;53;1,1;1,15;2,2;0;93,1;26,6;548,5;50
2007;54;0,8;0,81;0;0;92,1;26,4;547,7;50
2007;55;1,5;1,49;0;0;90,2;26,1;546,2;50
2007;56;0,8;0,84;1,2;0;90,7;26,2;546,6;50
2007;57;0,8;0,8;6,8;0;98,3;27,4;552,6;50
2007;58;0,6;0,65;5,1;3;100;27,7;554;50
2007;59;0,7;0,83;5,8;5;100;27,7;554;50
2007;60;0,6;0,74;3,2;2,4;100;27,7;554;50
2007;61;0,7;0,76;1,3;0,6;100;27,7;554;51,7
2007;62;0,6;0,74;10,9;10,2;100;27,7;554;51,7
2007;63;1,2;1,33;0,8;0;99,3;27,6;553,4;51,7
2007;64;0,9;1,05;0,6;0;98,7;27,5;552,9;51,7
